iter	Passed	Remaining
0	7	3822
1	14	3559
2	20	3350
3	26	3279
4	32	3195
5	38	3146
6	44	3149
7	48	2972
8	53	2908
9	58	2875
10	63	2839
11	69	2822
12	74	2804
13	80	2792
14	85	2776
15	92	2798
16	98	2789
17	104	2786
18	109	2768
19	114	2743
20	120	2740
21	125	2721
22	130	2707
23	136	2697
24	141	2690
25	147	2683
26	152	2676
27	158	2668
28	163	2649
29	168	2643
30	174	2633
31	179	2621
32	184	2613
33	190	2606
34	196	2604
35	201	2599
36	206	2586
37	212	2581
38	218	2578
39	223	2574
40	230	2575
41	235	2573
42	241	2568
43	247	2560
44	253	2558
45	257	2546
46	263	2538
47	268	2527
48	273	2515
49	278	2506
50	284	2503
51	290	2499
52	295	2495
53	301	2488
54	306	2480
55	312	2477
56	318	2473
57	323	2466
58	329	2463
59	334	2456
60	340	2451
61	345	2441
62	351	2438
63	356	2431
64	362	2428
65	368	2422
66	373	2415
67	378	2407
68	384	2401
69	390	2396
70	396	2395
71	402	2394
72	409	2393
73	414	2384
74	419	2379
75	424	2370
76	430	2364
77	436	2360
78	442	2359
79	448	2352
80	453	2348
81	459	2342
82	464	2335
83	470	2329
84	475	2322
85	480	2314
86	486	2309
87	492	2307
88	498	2301
89	504	2298
90	510	2295
91	516	2292
92	522	2285
93	527	2279
94	533	2273
95	538	2267
96	543	2259
97	549	2252
98	554	2246
99	560	2243
100	566	2238
101	572	2235
102	578	2230
103	584	2226
104	591	2223
105	597	2221
106	603	2218
107	610	2214
108	616	2212
109	623	2209
110	629	2206
111	635	2200
112	642	2198
113	648	2194
114	653	2188
115	659	2182
116	665	2177
117	670	2172
118	676	2164
119	682	2160
120	687	2153
121	692	2146
122	698	2140
123	703	2133
124	709	2128
125	715	2122
126	720	2114
127	725	2108
128	731	2102
129	736	2097
130	742	2090
131	747	2085
132	753	2079
133	759	2073
134	764	2067
135	770	2061
136	775	2056
137	782	2051
138	787	2046
139	793	2041
140	799	2036
141	805	2030
142	810	2023
143	816	2018
144	822	2012
145	828	2008
146	834	2002
147	840	1998
148	845	1991
149	851	1985
150	856	1979
151	862	1974
152	868	1968
153	873	1963
154	878	1956
155	884	1950
156	890	1945
157	896	1940
158	902	1934
159	907	1928
160	913	1923
161	919	1917
162	924	1912
163	930	1907
164	937	1902
165	943	1898
166	949	1892
167	955	1888
168	961	1883
169	967	1877
170	982	1889
171	991	1890
172	997	1885
173	1003	1879
174	1008	1873
175	1014	1867
176	1019	1861
177	1025	1855
178	1030	1848
179	1036	1843
180	1042	1836
181	1047	1830
182	1053	1825
183	1059	1819
184	1065	1813
185	1073	1812
186	1080	1808
187	1086	1803
188	1092	1797
189	1097	1790
190	1103	1785
191	1108	1779
192	1114	1772
193	1120	1767
194	1125	1760
195	1131	1754
196	1136	1748
197	1142	1742
198	1147	1736
199	1153	1729
200	1158	1724
201	1164	1717
202	1169	1711
203	1175	1705
204	1180	1699
205	1186	1693
206	1192	1687
207	1197	1681
208	1202	1674
209	1208	1668
210	1213	1662
211	1220	1657
212	1225	1650
213	1230	1644
214	1237	1639
215	1242	1634
216	1248	1627
217	1253	1622
218	1259	1616
219	1265	1610
220	1271	1605
221	1277	1599
222	1282	1593
223	1289	1588
224	1295	1582
225	1299	1576
226	1305	1570
227	1311	1564
228	1316	1558
229	1322	1552
230	1328	1547
231	1335	1542
232	1340	1536
233	1346	1530
234	1352	1525
235	1358	1519
236	1364	1513
237	1370	1508
238	1376	1503
239	1383	1498
240	1389	1493
241	1395	1487
242	1402	1483
243	1408	1477
244	1414	1472
245	1421	1467
246	1427	1461
247	1434	1458
248	1441	1452
249	1447	1447
